"id","name","type","form","multiple_link","db_column","alert","alert_type","method","condition","category","calculation","disregard","calculation_group","calculation_priority","classification_casedef","source","source_link","alert_desc","case_def","risk_factors","symptoms","labs_diagnostics",,
"prc_4","Reproductive Health","case","demo_case",,"icd_code",,,"sub_match","O00,O01,O02,O03,O04,O05,O06,O07,O08,O10,O11,O12,O13,O14,O15,O16,O20,O21,O22,O23,O24,O25,O26,O27,O28,O29,O30,O31,O32,O33,O34,O35,O36,O37,O38,O39,O40,O41,O42,O43,O44,O45,O46,O47,O48,O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O80,O81,O82,O83,O84,O85,O86,O87,O88,O89,O90,O91,O92,O94,O95,O96,O97,O98,O99:5,200","pc",,,"pc",,,,,,,,,,,
"prc_6","Injury","case","demo_case",,"icd_code",,,"sub_match","S00,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T90,T91,T92,T93,T94,T95,T96,T97,T98,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,W00,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,W64,W65,W66,W67,W68,W69,W70,W71,W72,W73,W74,W75,W76,W77,W78,W79,W80,W81,W82,W83,W84,W85,W86,W87,W88,W89,W90,W91,W92,W93,W94,W95,W96,W97,W98,W99,X00,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,Y00,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,Y97,Y98,S00,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T90,T91,T92,T93,T94,T95,T96,T97,T98,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,W00,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,W64,W65,W66,W67,W68,W69,W70,W71,W72,W73,W74,W75,W76,W77,W78,W79,W80,W81,W82,W83,W84,W85,W86,W87,W88,W89,W90,W91,W92,W93,W94,W95,W96,W97,W98,W99,X00,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,Y00,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,Y97,Y98","pc",,,"pc",,,,,,,,,,,
"prc_7","Other","case","demo_case",,"icd_code",,,"sub_match","!0,other,U00,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U80,U81,U82,U83,U84,U85,U86,U87,U88,U89,Z00,Z01,Z02,Z03,Z04,Z05,Z06,Z07,Z08,Z09,Z10,Z11,Z12,Z13,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,Z65,Z70,Z71,Z72,Z73,Z74,Z75,Z76,Z80,Z81,Z82,Z83,Z84,Z85,Z86,Z87,Z88,Z89,Z90,Z91,Z92,Z93,Z94,Z95,Z96,Z97,Z98,Z99:5,200","pc",,,"pc",,,,,,,,,,,
"cmd_1","Cholera","case","demo_case",,"icd_code",1,"threshold:3,5","match","A00,A00.0,A00.1,A00.9","cd_tab,Intestinal infectious diseases",,,"tab",,"Suspected","International Classification of Disease (ICD-10)","http://apps.who.int/classifications/icd10/browse/2015/en","1 case","Clinical Description 
An illness that is characterized by acute painless watery diarrhoea with or without vomiting. 

Probable case
Any person 5 years or older with severe dehydration or death caused by acute diarrhoea (3 or more abnormally loose or fluid stools in the past 24 hours). Any person 2 years or older with acute diarrhoea (3 or more abnormally loose or fluid stools in the past 24 hours), with or without dehydration in an area where there is a cholera outbreak.

Confirmed case 
A clinically compatible illness fulfilling the laboratory criterion. ","Contaminated water sources, contaminated food sources, cholera outbreak, low environmental sanitation","Watery diarrhea (3 or more abnormally loose or fluid stools in the past 24 hours, ""rice-water"" stool with or without vomiting), severe dehydration (including any of the following loss of skin turgor, malaise, tachypnoea, hypotension), fever (more cdon in children)","Isolation of vibrio cholera 01 or 0139 from stool sample (at least 5 grams or pea sized) or rectal swab",,
"cmd_2","Typhoid fever","case","demo_case",,"icd_code",1,"individual","match","A01,A01.0,A01.1,A01.2,A01.3,A01.4","cd_tab,Intestinal infectious diseases",,,"tab",,"Suspected","International Classification of Disease (ICD-10)","http://apps.who.int/classifications/icd10/browse/2015/en","1 case","Clinical Description 
An illness characterized by insidious onset of sustained fever, headache, malaise, cough, bradycardia, splenomegaly or rose spot on the trunk with or without gastrointestinal symptoms. 
 
Probable case 
A clinically compatible case that EITHER  
• Has Widal test result of titre of Salmonella Typhi O antibody of 200 or greater OR 
• Epidemiologically linked to a confirmed case. 

Confirmed case  
A clinically compatible case with laboratory confirmation.   
","Work in or travel to areas where typhoid fever is endemic, close contact with someone who is infected or has recently been infected with typhoid fever, drink water contaminated by sewage that contains S. typhi","Fever, headache, malaise, cough, bradycardia, splenomegaly, rose spot on the trunk, gastrointestinal symptoms","• Salmonella Typhi isolated from any clinical specimen 
• Widal test result of a four-fold or greater rise in the titre of Salmonella Typhi O antibody in paired sera ",,
"cmd_3","Bloody diarrhoea","case","demo_case",,"icd_code",1,"individual","match","A03,A03.0,A03.1,A03.2,A03.3,A03.8,A03.9","cd_tab,Intestinal infectious diseases",,,"tab",,"Suspected","International Classification of Disease (ICD-10)","http://apps.who.int/classifications/icd10/browse/2015/en","1 case","Clinical Description
An illness of variable severity characterized by diarrhoea (with blood, mucus or pus), fever, nausea, vomiting, abdominal cramps and tenesmus. 

Probable case
A clinically compatible case without laboratory confirmation, but is epidemiologically linked to a confirmed case.  

Confirmed case 
A clinically compatible case with laboratory confirmation. ","Contaminated water, contaminated food, malnourished, age (children under 5, older adults), children who have had measles in past 6 weeks, shigellosis outbreak","Malnourished, bloody diarrhea (3 or more abnormally loose or fluid stools in past 24 hours with visible blood), fever, abdominal cramps, rectal pain, seizures, sepsis, rectal prolapsed, toxic megacolon, hemolytic uraemic syndrome","Isolation of Shigella dysenteriae type 1 from stool samples (at least 5 grams or pea sized)",,
"cmd_4","Food Poisoning","case","demo_case",,"icd_code",1,"individual","match","A05,A05.0,A05.1,A05.2,A05.3,A05.4,A05.8,A05.9","cd_tab,Intestinal infectious diseases",,,"tab",,"Suspected","International Classification of Disease (ICD-10)","http://apps.who.int/classifications/icd10/browse/2015/en","1 case","Clinical Description
A person who ingests food or other agents that causes an infectious or toxic nature primarily of the gastrointestinal tract, but can include other systems (e.g. neurological, immunological). Probable cases have typical clinical symptoms of the illness without laboratory confirmation. Suspected cases have fewer or atypical clinical symptoms.

Exclusion: acute watery diarrhea (suspected shigellosis), bloody diarrhea (suspected cholera), acute jaundice syndrome (suspected Hepatitis)

Probable outbreak 
A clinically and epidemiologically compatible illness without laboratory confirmation. 
 
Confirmed outbreak 
 A clinically and epidemiologically compatible illness with EITHER  
•  Laboratory criteria of causative agent; OR 
• •Epidemiological linkage to another confirmed outbreak ","Consumption of contaminated food, Consumption of contaminated water","Nausea, Vomiting, Mucoid diarrhoea (fatty stools), Other diarrhoea (non-watery and non-bloody type), Abdominal pain, Headache, Dizziness, Loss of consciousness, Coma, Thirst, Dehydration, Dyspnoea, Weakness, Malaise, Sore throat, Fever, Chills, Gastroenteritis, Blurred vision, Twitching/convulsions, Tingling/numbness, Dilated pupils, Constricted pupils, Difficulty swallowing/speaking/breathing, Rash, Itching of skin","Isolation of suspected causative agent/s (refer to MOH guidelines) AND detailed risk assessment",,
"cmd_5","Tuberculosis","case","demo_case",,"icd_code",1,"individual","match","A15,A15.0,A15.1,A15.2,A15.3,A15.4,A15.5,A15.6,A15.7,A15.8,A15.9,A16,A16.0,A16.1,A16.2,A16.3,A16.4,A16.5,A16.7,A16.8,A16.9,A17,A17.0,A17.1,A17.8,A17.9,A18,A18.0,A18.1,A18.2,A18.3,A18.4,A18.5,A18.6,A18.7,A18.8,A19,A19.0,A19.1,A19.2,A19.8,A19.9","cd_tab,Tuberculosis",,,"tab",,"Suspected","International Classification of Disease (ICD-10)","http://apps.who.int/classifications/icd10/browse/2015/en","1 case","Clinical description  
Tuberculosis (TB) is a chronic bacterial infection characterized pathologically by the formation of granulomas, most common site of infection is the lungs, but other organs may be involved:  
• Pulmonary tuberculosis:  Classical symptoms including persistent cough, haemoptysis, afternoon fever, night sweating and weight loss. 
• Extrapulmonary tuberculosis: Clinical features referable to the respective organ/ system and general well-being affected. 

Probable case
All cases meeting either the clinical case definition or laboratory criteria, but not the full set of criteria for a confirmed case.   A case meets the following criteria: 
• Signs and symptoms compatible with active tuberculosis; AND 
• Supporting evidence from relevant and clinically indicated diagnostic evaluation (e.g., abnormal, unstable [i.e., worsening or improving] chest radiographs); AND 
• The attending physician forms the opinion that treatment for active tuberculosis with a combination of anti-tuberculosis medications is required  

Confirmed case 
A clinically compatible illness that is laboratory confirmed, or in the absence of laboratory confirmation, a case meeting the clinical case definition and showing an appropriate response to treatment   ","Crowded living conditions, exposure to someone with known TB, exposure to high prevalence area with TB, HIV-positive","Cough of long duration (>2 weeks), coughing blood, chest pain, shortness of breath, fever/night sweats, tiredness, loss of appetite, weight loss","3 sputum examined by light microscopic (early morning sample are more likely to contain TB organism)
OR Chest X-ray",,
"cmd_6","Plague","case","demo_case",,"icd_code",1,"individual","match","A20,A20.0,A20.1,A20.2,A20.3,A20.7,A20.8,A20.9","cd_tab,Certain zoonotic bacterial diseases",,,"tab",,"Suspected","International Classification of Disease (ICD-10)","http://apps.who.int/classifications/icd10/browse/2015/en","1 case","Clinical Description
A probable case is characterized by fever, chills, headache, malaise, prostration, and leukocytosis that manifests in one or more of the following clinical forms: 
• Bubonic plague: Regional lymphadenitis 
• Septicemic plague: Septicemia without an evident bubo  
• Pneumonic plague: Primary pneumonic plague:  resulting from inhalation of infectious droplets; Secondary pneumonic plague:  Plague pneumonia, resulting from hematogenous spread in bubonic or septicemic cases       
• Pharyngeal plague: Pharyngitis and cervical lymphadenitis resulting from exposure to larger infectious droplets or ingestion of infected tissues 

Probable case 
 A clinically compatible illness with presumptive laboratory results: 
• Elevated serum antibody titre to Y. pestis F1 antigen in a patient with no history of plague vaccination; OR  
• Detection of Y. pestis F1 antigen in a clinical specimen by fluorescent assay 

Confirmed case 
 A clinically compatible illness with confirmatory laboratory results. ","Location (endemic rural areas and in urban areas characterized by overcrowding, poor sanitation and a high rat population), occupation (veterinarians)","High fever, a painful inflammation and suppuration in the lymph nodes in the area of the bite, headache, vomiting, delirium, shortness of breath, cough, bloody sputum","Any one of the following:  
• Isolation of Yersinia pestis from a clinical specimen 
• Four-fold or greater change in serum antibody titre to Y. pestis fraction 1 (F1) antigen",,
"cmd_7","Anthrax","case","demo_case",,"icd_code",1,"individual","match","A22,A22.0,A22.1,A22.2,A22.7,A22.8,A22.9","cd_tab,Certain zoonotic bacterial diseases",,,"tab",,"Suspected","International Classification of Disease (ICD-10)","http://apps.who.int/classifications/icd10/browse/2015/en","1 case","Clinical Description
Localised form:
• Cutaneous: skin lesion evolving over 2 to 6 days from a popular through a vesicular stage, to a depressed black eschar invariably accompanied by oedema that may be mild to extensive.

Systemic form:
• Gastrointestinal: abdominal distress characterized by nausea, vomiting, anorexia and followed by fever
• Pulmonary: brief prodrome resembling acute viral respiratory illness, followed by rapid onset of hypoxia, dyspnea and high temperature, with X-ray evidence of mediastinal widening
• Meningeal: acute onset of high fever possibly with convulsions and loss of consciousness, meningeal signs and symptoms

Probable case
A person whose case is compatible with the clinical description and has an epidemiological link to confirmed or suspected animal cases or contaminated animal products. 

Confirmed case 
A clinically compatible case that is laboratory confirmed. ","Skin lesion (cut, abrasion, bite, etc.) that could allow anthrax spore to penetrate, ingestion of contaminated meat, suspected inhalation of anthrax spores","Cutaneous anthrax: pimple/papule with or without surrounding vesicles, oedema, eschar

Gastrointestinal anthrax: nausea, vomiting, fever, abdominal pain, haematemesis, bloody diarrhea, massive ascites, toxaemia and shock, sore throat, dysphagia, fever, regional lymphadenopathy in the neck and toxaemia

Pulmonary (inhalation) anthrax: mild fever, fatigue, malaise, headache, muscle ache, chills and fever, dyspnea, cyanosis, disorientation with coma","Any one of the following: 
• Demonstration of Bacillus anthracis in a clinical specimen by microscopic examination of stained smears of vesicular fluid, blood, cerebrospinal fluid, etc 
• Isolation of Bacillus anthracis from a clinical specimen (e.g. blood, lesions, discharges) 
• Detection of Bacillus anthracis by nucleic acid testing of a clinical specimen ",,
